공시연도,대표학교코드,학교코드,학교명,본분교명,대학구분,학교종류,설립유형,지역명,학교상태,입학정원(학부),재학생수(학부),신입생경쟁률(학부),신입생충원율(학부),신입생충원율(학부)_기준년도,재학생충원율,재학생충원율_확보상태,raw_source_url,재학생충원율_기준시점,학생정원_raw29,학생모집정지인원_raw29,재학생수(학부)_raw29,정원내재학생수_raw29,정원내재학생충원율,입학정원(학부)_raw27,신입생충원율(학부)_raw27,신입생경쟁률(학부)_raw27,재학생수(학부)_raw31,정원내재학생수_raw31,정원외재학생수_raw31,재학생충원율_원자료파일
2026,0000269,0000269,진주산업대학교(산업대),본교,대학,산업대학,국립,경남,폐교,0,0,0,0.0,2025,,원자료 29번 매칭 실패,https://academyinfo.go.kr/main/main0830/main0830.do,,,,,,,,,,,,,academyinfo_2025_29_student_fill_school.xlsx
2026,0000187,0000187,차의과학대학교,본교,대학,대학교,사립,경기,기존,504,2154,7.1,100.0,2025,105.3,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,2046.0,0.0,2154.0,1936.0,94.6,504.0,100.0,7.1,2154.0,1936.0,218.0,academyinfo_2025_29_student_fill_school.xlsx
2026,0000541,0000541,창신대학,본교,전문대학,전문대학,사립,경남,폐교,0,0,0,0.0,2025,,원자료 29번 매칭 실패,https://academyinfo.go.kr/main/main0830/main0830.do,,,,,,,,,,,,,academyinfo_2025_29_student_fill_school.xlsx
2026,0000249,0000249,창신대학교,본교,대학,대학교,사립,경남,기존,345,1582,7.4,100.0,2025,118.1,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,1340.0,0.0,1582.0,1291.0,96.3,345.0,100.0,7.4,1582.0,1291.0,291.0,academyinfo_2025_29_student_fill_school.xlsx
2026,0000542,0000542,창원문성대학교,본교,전문대학,전문대학,사립,경남,기존,228,683,3.1,75.0,2025,,원자료 29번 매칭 실패,https://academyinfo.go.kr/main/main0830/main0830.do,,,,,,,,,,,,,academyinfo_2025_29_student_fill_school.xlsx
2026,0000544,0000544,청강문화산업대학교,본교,전문대학,전문대학,사립,경기,기존,1122,3756,10.8,100.0,2025,,원자료 29번 매칭 실패,https://academyinfo.go.kr/main/main0830/main0830.do,,,,,,,,,,,,,academyinfo_2025_29_student_fill_school.xlsx
2026,0002656,0002656,청암대학교,본교,전문대학,전문대학,사립,전남,기존,800,2116,2.9,88.8,2025,,원자료 29번 매칭 실패,https://academyinfo.go.kr/main/main0830/main0830.do,,,,,,,,,,,,,academyinfo_2025_29_student_fill_school.xlsx
2026,0000284,0000284,청운대학교,본교,대학,산업대학,사립,충남,기존,962,5135,6.9,98.0,2025,118.5,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,4335.0,0.0,5135.0,3621.0,83.5,962.0,98.0,6.9,5135.0,3621.0,1514.0,academyinfo_2025_29_student_fill_school.xlsx
2026,0000261,0000261,청주교육대학교,본교,대학,교육대학,국립,충북,기존,286,1075,6.7,100.0,2025,96.8,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,1110.0,0.0,1075.0,998.0,89.9,286.0,100.0,6.7,1075.0,998.0,77.0,academyinfo_2025_29_student_fill_school.xlsx
2026,0000179,0000179,청주대학교,본교,대학,대학교,사립,충북,기존,2621,11943,6.1,99.9,2025,112.7,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,10596.0,0.0,11943.0,9711.0,91.6,2621.0,99.9,6.1,11943.0,9711.0,2232.0,academyinfo_2025_29_student_fill_school.xlsx
2026,0000246,0000246,초당대학교,본교,대학,대학교,사립,전남,기존,717,2225,2.7,70.0,2025,76.6,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,2903.0,0.0,2225.0,2082.0,71.7,717.0,70.0,2.7,2225.0,2082.0,143.0,academyinfo_2025_29_student_fill_school.xlsx
2026,0000180,0000180,총신대학교,본교,대학,대학교,사립,서울,기존,307,1398,5.3,100.0,2025,113.8,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,1228.0,0.0,1398.0,1252.0,102.0,307.0,100.0,5.3,1398.0,1252.0,146.0,academyinfo_2025_29_student_fill_school.xlsx
2026,0000181,0000181,추계예술대학교,본교,대학,대학교,사립,서울,기존,250,1113,11.1,100.0,2025,111.3,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,1000.0,0.0,1113.0,1023.0,102.3,250.0,100.0,11.1,1113.0,1023.0,90.0,academyinfo_2025_29_student_fill_school.xlsx
2026,0000262,0000262,춘천교육대학교,본교,대학,교육대학,국립,강원,기존,321,1186,5.2,100.0,2025,95.3,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,1245.0,0.0,1186.0,1121.0,90.0,321.0,100.0,5.2,1186.0,1121.0,65.0,academyinfo_2025_29_student_fill_school.xlsx
2026,0000545,0000545,춘해보건대학교,본교,전문대학,전문대학,사립,울산,기존,654,2652,9.2,91.6,2025,,원자료 29번 매칭 실패,https://academyinfo.go.kr/main/main0830/main0830.do,,,,,,,,,,,,,academyinfo_2025_29_student_fill_school.xlsx
2026,0000029,0000029,충남대학교,본교,대학,대학교,국립,대전,기존,3778,17696,10.3,100.0,2025,118.2,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,14967.0,0.0,17696.0,16022.0,107.0,3778.0,100.0,10.3,17696.0,16022.0,1674.0,academyinfo_2025_29_student_fill_school.xlsx
2026,0002657,0002657,충남도립대학교,본교,전문대학,전문대학,공립,충남,기존,447,968,3.7,100.0,2025,,원자료 29번 매칭 실패,https://academyinfo.go.kr/main/main0830/main0830.do,,,,,,,,,,,,,academyinfo_2025_29_student_fill_school.xlsx
2026,0000030,0000030,충북대학교,본교,대학,대학교,국립,충북,기존,3162,13228,11.8,100.1,2025,110.6,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,11957.0,0.0,13228.0,11813.0,98.8,3162.0,100.1,11.8,13228.0,11813.0,1415.0,academyinfo_2025_29_student_fill_school.xlsx
