공시연도,대표학교코드,학교코드,학교명,본분교명,대학구분,학교종류,설립유형,지역명,학교상태,입학정원(학부),재학생수(학부),신입생경쟁률(학부),신입생충원율(학부),신입생충원율(학부)_기준년도,재학생충원율,재학생충원율_확보상태,raw_source_url
2026,0000646,0000646,웨스트민스터신학대학원대학교,본교,대학원대학,전문대학원,사립,경기,기존,200,422,-,74.5,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000160,0000160,위덕대학교,본교,대학,대학교,사립,경북,기존,627,2116,3.1,98.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000154,0000154,유원대학교,본교,대학,대학교,사립,충북,기존,875,4032,3,99.8,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000524,0000524,유한대학교,본교,전문대학,전문대학,사립,경기,기존,1695,4685,7.8,100.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000161,0002911,을지대학교,제3캠퍼스,대학,대학교,사립,경기,기존,192,707,11.9,100.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000161,0000162,을지대학교,제2캠퍼스,대학,대학교,사립,경기,기존,787,3653,12.3,100.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000161,0000161,을지대학교,본교,대학,대학교,사립,대전,기존,100,357,13,100.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000163,0000163,이화여자대학교,본교,대학,대학교,사립,서울,기존,3260,16452,9.8,99.5,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000525,0000525,인덕대학교,본교,전문대학,전문대학,사립,서울,기존,2074,5790,7.8,100.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000164,0000166,인제대학교,제2캠퍼스,대학,대학교,사립,부산,기존,0,0,0,0.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000164,0000164,인제대학교,본교,대학,대학교,사립,경남,기존,1699,6844,5.6,98.7,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000168,0000168,인천가톨릭대학교,본교,대학,대학교,사립,인천,기존,12,40,1.1,91.7,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000168,0000167,인천가톨릭대학교,제2캠퍼스,대학,대학교,사립,인천,기존,153,657,7.5,100.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0002660,0002660,인천대학교,본교,대학,대학교,국립대법인,인천,기존,2516,11247,11.2,100.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
