기준년도,학교명,본분교명,설립유형,전임교원 1인당 연구비(교내),전임교원 1인당 연구비(교외)
2008,고려사이버대학교,본교,사립,0.0,466.7
2008,고신대학교,본교,사립,1264.3,4275.2
2008,관동대학교,본교,사립,203.9,4783.2
2008,광신대학교,본교,사립,800.0,0.0
2008,광운대학교,본교,사립,7406.2,88450.4
2008,광주가톨릭대학교,본교,사립,0.0,0.0
2008,광주대학교,본교,사립,2476.9,29115.7
2008,광주여자대학교,본교,사립,2126.1,4544.5
2008,국민대학교,본교,사립,4737.4,59207.6
2008,국제사이버대학교,본교,사립,0.0,0.0
2008,극동대학교,본교,사립,0.0,8753.2
2008,금강대학교,본교,사립,6423.0,49176.5
2008,꽃동네현도사회복지대학교,본교,사립,2857.1,13842.9
2008,나사렛대학교,본교,사립,1768.1,1894.5
2008,남부대학교,본교,사립,0.0,6215.8
2008,남서울대학교,본교,사립,1286.0,9101.1
2008,단국대학교,본교,사립,4539.8,57293.0
2008,대구가톨릭대학교,본교,사립,3629.2,24278.2
2008,대구대학교,본교,사립,3823.6,15325.7
2008,대구사이버대학교,본교,사립,0.0,0.0
2008,대구예술대학교,본교,사립,181.8,1424.5
2008,대구외국어대학교,본교,사립,0.0,0.0
2008,대구한의대학교,본교,사립,3029.6,19694.9
2008,대불대학교,본교,사립,9650.3,160.4
2008,대신대학교,본교,사립,0.0,0.0
2008,대전가톨릭대학교,본교,사립,500.0,0.0
2008,대전대학교,본교,사립,1059.5,20653.3
2008,대전신학대학교,본교,사립,0.0,0.0
2008,대진대학교,본교,사립,2059.6,4947.8
2008,덕성여자대학교,본교,사립,10436.1,20246.5
2008,동국대학교,본교,사립,5604.5,64795.0
2008,동덕여자대학교,본교,사립,1455.2,4348.3
2008,동명대학교,본교,사립,239.1,16077.8
2008,동서대학교,본교,사립,6922.6,6912.3
2008,동신대학교,본교,사립,1749.0,25602.9
2008,동아대학교,본교,사립,3189.4,38437.1
2008,동양대학교,본교,사립,0.0,10919.2
2008,동의대학교,본교,사립,3826.7,40367.5
2008,디지털서울문화예술대학교,본교,사립,0.0,0.0
2008,루터대학교,본교,사립,0.0,0.0
2008,명신대학교,본교,사립,0.0,0.0
2008,명지대학교,본교,사립,3592.1,137489.1
2008,목원대학교,본교,사립,1314.0,7414.5
2008,목포가톨릭대학교,본교,사립,706.3,1675.0
2008,배재대학교,본교,사립,4781.8,13966.5
2008,백석대학교,본교,사립,205.4,2910.2
2008,부산가톨릭대학교,본교,사립,1567.6,9336.2
2008,부산디지털대학교,본교,사립,0.0,0.0
2008,부산외국어대학교,본교,사립,2135.5,9291.7
2008,부산장신대학교,본교,사립,1235.3,1925.0
2008,사이버한국외국어대학교,본교,사립,1066.7,1043.0
2008,삼육대학교,본교,사립,2846.2,24877.5
2008,상명대학교,본교,사립,1976.0,11551.6
2008,상지대학교,본교,사립,2976.0,25906.7
2008,서강대학교,본교,사립,9123.5,81145.3
2008,서경대학교,본교,사립,90.4,12804.8
2008,서남대학교,본교,사립,0.0,4723.1
2008,서울기독대학교,본교,사립,0.0,0.0
2008,서울디지털대학교,본교,사립,0.0,2327.6
2008,서울사이버대학교,본교,사립,530.9,2357.4
2008,서울신학대학교,본교,사립,0.0,201.3
2008,서울여자대학교,본교,사립,8838.4,32052.2
2008,서울장신대학교,본교,사립,802.9,200.0
2008,서울한영대학교,본교,사립,0.0,238.1
2008,서원대학교,본교,사립,3349.5,4259.0
2008,선교청대학교,본교,사립,0.0,0.0
2008,선문대학교,본교,사립,1897.7,31191.1
2008,성결대학교,본교,사립,1445.0,2570.2
2008,성공회대학교,본교,사립,476.0,24571.7
2008,성균관대학교,본교,사립,7648.8,38004.8
2008,성신여자대학교,본교,사립,2381.0,9918.7
2008,세명대학교,본교,사립,356.2,5855.8
2008,세종대학교,본교,사립,6859.5,79086.5
2008,세종사이버대학교,본교,사립,0.0,0.0
2008,수원가톨릭대학교,본교,사립,2938.5,0.0
2008,수원대학교,본교,사립,2313.6,33633.0
2008,숙명여자대학교,본교,사립,6665.2,30168.7
2008,순천향대학교,본교,사립,4138.5,16432.1
2008,숭실대학교,본교,사립,5223.0,43105.4
2008,숭실사이버대학교,본교,사립,0.0,0.0
2008,신경대학교,본교,사립,0.0,0.0
2008,신라대학교,본교,사립,1343.3,6007.7
2008,아세아연합신학대학교,본교,사립,378.0,345.0
2008,아주대학교,본교,사립,4883.9,84030.9
2008,안양대학교,본교,사립,685.0,12935.9
2008,연세대학교,본교,사립,4783.2,130225.8
2008,열린사이버대학교,본교,사립,0.0,2294.1
2008,영남대학교,본교,사립,6837.5,36104.4
2008,영남신학대학교,본교,사립,0.0,1134.4
2008,영동대학교,본교,사립,0.0,7005.3
2008,영산대학교,본교,사립,0.0,3274.9
2008,영산선학대학교,본교,사립,0.0,0.0
2008,예수대학교,본교,사립,612.5,20185.5
2008,예원예술대학교,본교,사립,0.0,0.0
2008,용인대학교,본교,사립,294.5,13443.8
2008,우석대학교,본교,사립,817.8,22248.3
2008,우송대학교,본교,사립,359.0,7636.5
2008,울산대학교,본교,사립,1440.4,28415.4
2008,원광대학교,본교,사립,4680.6,28452.3
2008,원광디지털대학교,본교,사립,0.0,0.0
2008,위덕대학교,본교,사립,10357.8,28403.6
2008,을지대학교,본교,사립,391.7,7604.5
2008,이화여자대학교,본교,사립,8279.7,77178.1
2008,인제대학교,본교,사립,3833.1,57690.2
2008,인천가톨릭대학교,본교,사립,0.0,0.0
2008,인하대학교,본교,사립,9419.3,87485.5
2008,장로회신학대학교,본교,사립,2452.8,3971.7
2008,전주대학교,본교,사립,0.0,19632.2
2008,정석대학,본교,사립,0.0,0.0
2008,조선대학교,본교,사립,7693.4,24311.2
2008,중부대학교,본교,사립,131.1,4297.5
2008,중앙대학교,본교,사립,10415.7,60041.0
2008,중앙승가대학교,본교,사립,0.0,0.0
2008,중원대학교,본교,사립,0.0,0.0
2008,차의과학대학교,본교,사립,4840.5,20007.4
2008,청운대학교,본교,사립,1276.1,12057.8
2008,청주대학교,본교,사립,5000.3,12701.2
2008,초당대학교,본교,사립,0.0,3198.4
2008,총신대학교,본교,사립,1959.6,2455.9
2008,추계예술대학교,본교,사립,652.2,2034.8
2008,침례신학대학교,본교,사립,1750.0,767.4
2008,칼빈대학교,본교,사립,0.0,0.0
2008,탐라대학교,본교,사립,0.0,5222.4
