기준년도,학교명,캠퍼스구분,학교종류,설립구분,지역,재학생수,기숙사실수,기숙사수용인원,기숙사지원자수,기숙사경쟁률,기숙사수용률
2022,숙명여자대학교,본교,대학교,사립,서울,10419.0,602,1283,1627.0,1.3,12.3
2022,숭실대학교,본교,대학교,사립,서울,15116.0,822,1736,1843.0,1.1,11.5
2022,연세대학교,본교,대학교,사립,서울,27153.0,4242,9685,7233.0,0.7,35.7
2022,이화여자대학교,본교,대학교,사립,서울,19100.0,2433,4269,6123.0,1.4,22.4
2022,장로회신학대학교,본교,대학교,사립,서울,1967.0,177,642,447.0,0.7,32.6
2022,중앙대학교,본교,대학교,사립,서울,21866.0,1364,2817,5469.0,1.9,12.9
2022,총신대학교,본교,대학교,사립,서울,2901.0,404,1607,276.0,0.2,55.4
2022,추계예술대학교,본교,대학교,사립,서울,1285.0,68,172,48.0,0.3,13.4
2022,한국성서대학교,본교,대학교,사립,서울,1018.0,42,168,126.0,0.8,16.5
2022,한국외국어대학교,본교,대학교,사립,서울,18201.0,1638,3424,5873.0,1.7,18.8
2022,한성대학교,본교,대학교,사립,서울,6793.0,339,839,801.0,1.0,12.4
2022,한양대학교,본교,대학교,사립,서울,20602.0,1038,2354,3178.0,1.4,11.4
2022,홍익대학교,본교,대학교,사립,서울,14022.0,817,1845,2384.0,1.3,13.2
2023,감리교신학대학교,본교,대학교,사립,서울,1181.0,150,300,267.0,0.9,25.4
2023,강서대학교,본교,대학교,사립,서울,1660.0,85,208,0.0,0.0,12.5
2023,건국대학교,본교,대학교,사립,서울,17364.0,1728,3309,4069.0,1.2,19.1
2023,경희대학교,본교,대학교,사립,서울,29364.0,2598,5031,7352.0,1.5,17.1
2023,고려대학교,본교,대학교,사립,서울,26665.0,1540,3205,4389.0,1.4,12.0
2023,광운대학교,본교,대학교,사립,서울,8733.0,517,1069,1369.0,1.3,12.2
2023,국민대학교,본교,대학교,사립,서울,15914.0,619,1857,4182.0,2.3,11.7
2023,덕성여자대학교,본교,대학교,사립,서울,5575.0,468,851,1429.0,1.7,15.3
2023,동국대학교,본교,대학교,사립,서울,15387.0,818,2116,2777.0,1.3,13.8
2023,동덕여자대학교,본교,대학교,사립,서울,6805.0,203,798,610.0,0.8,11.7
2023,삼육대학교,본교,대학교,사립,서울,6113.0,507,1352,1318.0,1.0,22.1
2023,상명대학교,본교,대학교,사립,서울,6992.0,202,609,643.0,1.1,8.7
2023,서강대학교,본교,대학교,사립,서울,10377.0,558,1284,1841.0,1.4,12.4
2023,서경대학교,본교,대학교,사립,서울,6228.0,176,694,658.0,0.9,11.1
2023,서울기독대학교,본교,대학교,사립,서울,403.0,22,66,12.0,0.2,16.4
2023,서울여자대학교,본교,대학교,사립,서울,7221.0,348,883,1545.0,1.7,12.2
2023,서울한영대학교,본교,대학교,사립,서울,707.0,24,108,22.0,0.2,15.3
2023,성공회대학교,본교,대학교,사립,서울,2100.0,223,444,663.0,1.5,21.1
2023,성균관대학교,본교,대학교,사립,서울,25452.0,2716,5227,7595.0,1.5,20.5
2023,성신여자대학교,본교,대학교,사립,서울,9666.0,424,1000,1490.0,1.5,10.3
2023,세종대학교,본교,대학교,사립,서울,13865.0,629,1542,2524.0,1.6,11.1
2023,숙명여자대학교,본교,대학교,사립,서울,10897.0,609,1290,1601.0,1.2,11.8
2023,숭실대학교,본교,대학교,사립,서울,15714.0,822,1736,2459.0,1.4,11.0
2023,연세대학교,본교,대학교,사립,서울,28411.0,4263,10134,10055.0,1.0,35.7
2023,이화여자대학교,본교,대학교,사립,서울,19823.0,2470,4343,9046.0,2.1,21.9
2023,장로회신학대학교,본교,대학교,사립,서울,1948.0,177,642,539.0,0.8,33.0
2023,중앙대학교,본교,대학교,사립,서울,22421.0,1375,2838,5466.0,1.9,12.7
2023,총신대학교,본교,대학교,사립,서울,2715.0,385,1398,1076.0,0.8,51.5
