기준년도,학교명,부담율
2014,영산선학대학교,100.0
2014,예수대학교,65.6
2014,예원예술대학교,100.0
2014,용인대학교,5.0
2014,우석대학교,38.9
2014,우송대학교,82.0
2014,울산대학교,88.6
2014,원광대학교,66.0
2014,원광디지털대학교,86.1
2014,위덕대학교,50.5
2014,을지대학교,123.3
2014,이화여자대학교,55.4
2014,인제대학교,100.0
2014,인천가톨릭대학교,100.2
2014,인하대학교,69.3
2014,장로회신학대학교,70.9
2014,전주대학교,4.4
2014,제주국제대학교,0.0
2014,조선대학교,13.6
2014,중부대학교,17.3
2014,중앙대학교,61.8
2014,중앙승가대학교,97.9
2014,중원대학교,106.7
2014,차의과학대학교,100.0
2014,창신대학교,111.2
2014,청운대학교,10.5
2014,청주대학교,8.6
2014,초당대학교,43.3
2014,총신대학교,18.8
2014,추계예술대학교,30.2
2014,침례신학대학교,26.8
2014,칼빈대학교,38.2
2014,평택대학교,21.0
2014,포항공과대학교,100.0
2014,한국국제대학교,0.0
2014,한국기술교육대학교,101.7
2014,한국산업기술대학교,30.5
2014,한국성서대학교,68.6
2014,한국외국어대학교,62.0
2014,한국항공대학교,61.4
2014,한남대학교,6.1
2014,한동대학교,20.1
2014,한라대학교,102.9
2014,한려대학교,100.0
2014,한림대학교,100.0
2014,한서대학교,13.7
2014,한성대학교,10.7
2014,한세대학교,100.0
2014,한신대학교,64.1
2014,한양대학교,31.0
2014,한양사이버대학교,27.9
2014,한일장신대학교,103.7
2014,한중대학교,0.0
2014,협성대학교,35.8
2014,호남대학교,4.9
2014,호남신학대학교,100.0
2014,호서대학교,6.5
2014,호원대학교,4.2
2014,홍익대학교,18.5
2014,화신사이버대학교,49.9
2015,가야대학교(김해),12.9
2015,가천대학교,62.0
2015,가톨릭관동대학교,17.3
2015,가톨릭대학교,101.1
2015,감리교신학대학교,101.7
2015,강남대학교,17.8
2015,강서대학교,59.3
2015,건국대학교,70.1
2015,건양대학교,100.0
2015,건양사이버대학교,100.0
2015,경기대학교,0.6
2015,경남대학교,24.0
2015,경동대학교,100.0
2015,경성대학교,6.2
2015,경운대학교,14.0
2015,경일대학교,1.9
2015,경주대학교,15.0
2015,경희대학교,62.7
2015,경희사이버대학교,40.9
2015,계명대학교,55.9
2015,고려대학교,59.9
2015,고려사이버대학교,46.7
2015,고신대학교,76.9
2015,광신대학교,100.6
2015,광운대학교,0.7
2015,광주가톨릭대학교,100.0
2015,광주대학교,20.2
2015,광주여자대학교,2.0
2015,국민대학교,62.3
2015,국제사이버대학교,0.0
2015,극동대학교,5.1
2015,글로벌사이버대학교,51.7
2015,금강대학교,100.0
2015,김천대학교,1.3
2015,꽃동네대학교,127.5
2015,나사렛대학교,13.3
2015,남부대학교,51.6
2015,남서울대학교,9.9
2015,단국대학교,6.2
2015,대구가톨릭대학교,100.0
2015,대구대학교,0.0
2015,대구사이버대학교,0.0
2015,대구예술대학교,8.8
2015,대구외국어대학교,8.3
2015,대구한의대학교,3.1
2015,대신대학교,104.4
2015,대전가톨릭대학교,100.0
2015,대전대학교,64.8
2015,대전신학대학교,111.4
2015,대진대학교,100.0
2015,덕성여자대학교,100.0
2015,동국대학교,66.1
2015,동덕여자대학교,11.7
2015,동명대학교,14.8
2015,동서대학교,17.3
2015,동신대학교,14.2
2015,동아대학교,24.3
2015,동양대학교,28.6
2015,동의대학교,7.3
2015,디지털서울문화예술대학교,0.0
2015,루터대학교,100.0
2015,명지대학교,0.2
2015,목원대학교,1.6
2015,목포가톨릭대학교,55.8
2015,배재대학교,16.0
2015,백석대학교,10.5
2015,부산가톨릭대학교,114.0
2015,부산디지털대학교,58.1
2015,부산외국어대학교,6.4
2015,부산장신대학교,63.6
2015,사이버한국외국어대학교,28.0
2015,삼육대학교,61.7
2015,상명대학교,13.1
2015,상지대학교,0.0
2015,서강대학교,1.9
2015,서경대학교,52.4
2015,서남대학교,0.0
2015,서울기독대학교,63.9
2015,서울디지털대학교,14.2
2015,서울사이버대학교,106.0
2015,서울신학대학교,100.1
2015,서울여자대학교,5.0
2015,서울장신대학교,63.5
2015,서울한영대학교,100.0
2015,서원대학교,12.6
2015,선문대학교,100.6
2015,성결대학교,11.3
2015,성공회대학교,26.1
2015,성균관대학교,100.0
2015,성신여자대학교,3.0
2015,세명대학교,40.8
2015,세종대학교,4.9
2015,세종사이버대학교,44.8
2015,세한대학교,2.5
2015,송원대학교,66.2
2015,수원가톨릭대학교,105.1
2015,수원대학교,11.2
2015,숙명여자대학교,0.0
2015,순복음총회신학교,97.7
2015,순천향대학교,102.2
2015,숭실대학교,10.1
2015,숭실사이버대학교,6.2
2015,신경대학교,0.0
2015,신라대학교,6.1
2015,신한대학교,0.0
2015,아세아연합신학대학교,38.0
2015,아주대학교,77.0
2015,안양대학교,16.5
2015,연세대학교,85.3
2015,영남대학교,31.0
2015,영남신학대학교,100.0
2015,영산대학교,62.6
2015,영산선학대학교,100.0
2015,예수대학교,55.2
2015,예원예술대학교,102.5
2015,용인대학교,12.2
2015,우석대학교,56.4
2015,우송대학교,80.9
2015,울산대학교,83.6
2015,원광대학교,25.2
2015,원광디지털대학교,84.9
2015,위덕대학교,8.3
2015,유원대학교,30.2
2015,을지대학교,116.7
2015,이화여자대학교,61.3
2015,인제대학교,100.0
2015,인천가톨릭대학교,107.1
2015,인하대학교,74.2
2015,장로회신학대학교,115.5
2015,전주대학교,3.4
2015,제주국제대학교,1.9
2015,조선대학교,3.6
2015,중부대학교,16.9
2015,중앙대학교,64.5
2015,중앙승가대학교,102.2
2015,중원대학교,93.3
2015,차의과학대학교,100.0
2015,창신대학교,157.9
2015,청운대학교,11.4
2015,청주대학교,0.3
2015,초당대학교,35.7
2015,총신대학교,20.2
2015,추계예술대학교,14.2
2015,침례신학대학교,26.1
2015,칼빈대학교,61.6
2015,평택대학교,19.4
2015,포항공과대학교,100.0
2015,한국국제대학교,0.0
2015,한국기술교육대학교,101.1
2015,한국산업기술대학교,91.0
2015,한국성서대학교,76.7
2015,한국열린사이버대학교,0.0
2015,한국외국어대학교,61.7
2015,한국항공대학교,61.8
2015,한남대학교,0.2
2015,한동대학교,50.0
2015,한라대학교,100.2
2015,한려대학교,0.0
2015,한림대학교,100.0
2015,한서대학교,29.2
2015,한성대학교,21.0
2015,한세대학교,100.0
2015,한신대학교,55.0
2015,한양대학교,32.2
2015,한양사이버대학교,0.0
2015,한일장신대학교,108.0
2015,협성대학교,35.9
2015,호남대학교,5.9
2015,호남신학대학교,100.0
