기준년도,학교명,평가주기,설립구분,지역,통합지표값,원자료지표값,재계산지표값,분자,분모,단위,원본파일명,직원1인당학생수
2017,서울한영대학교,2,사립,서울,27.10526,27.10526,27.10526,1030.0,38.0,students_per_staff,2주기 2017년도 대학현황지표 - 20260427111435.xlsx,27.10526
2017,성공회대학교,2,사립,서울,35.06944,35.06944,35.06944,2525.0,72.0,students_per_staff,2주기 2017년도 대학현황지표 - 20260427111435.xlsx,35.06944
2017,성균관대학교,2,사립,서울,62.48086,62.48086,62.48086,26117.0,418.0,students_per_staff,2주기 2017년도 대학현황지표 - 20260427111435.xlsx,62.48086
2017,성신여자대학교,2,사립,서울,40.8583,40.85829,40.8583,10092.0,247.0,students_per_staff,2주기 2017년도 대학현황지표 - 20260427111435.xlsx,40.8583
2017,세종대학교,2,사립,서울,82.38012,82.38011,82.38012,14087.0,171.0,students_per_staff,2주기 2017년도 대학현황지표 - 20260427111435.xlsx,82.38012
2017,숙명여자대학교,2,사립,서울,39.39241,39.3924,39.39241,12448.0,316.0,students_per_staff,2주기 2017년도 대학현황지표 - 20260427111435.xlsx,39.39241
2017,숭실대학교,2,사립,서울,56.01444,56.01444,56.01444,15516.0,277.0,students_per_staff,2주기 2017년도 대학현황지표 - 20260427111435.xlsx,56.01444
2017,연세대학교,2,사립,서울,35.60046,35.60045,35.60046,31008.0,871.0,students_per_staff,2주기 2017년도 대학현황지표 - 20260427111435.xlsx,35.60046
2017,이화여자대학교,2,사립,서울,41.06072,41.06072,41.06072,21639.0,527.0,students_per_staff,2주기 2017년도 대학현황지표 - 20260427111435.xlsx,41.06072
2017,장로회신학대학교,2,사립,서울,49.55556,49.55555,49.55556,2230.0,45.0,students_per_staff,2주기 2017년도 대학현황지표 - 20260427111435.xlsx,49.55556
2017,중앙대학교,2,사립,서울,45.31447,45.31446,45.31447,28820.0,636.0,students_per_staff,2주기 2017년도 대학현황지표 - 20260427111435.xlsx,45.31447
2017,총신대학교,2,사립,서울,34.73729,34.73728,34.73729,4099.0,118.0,students_per_staff,2주기 2017년도 대학현황지표 - 20260427111435.xlsx,34.73729
2017,추계예술대학교,2,사립,서울,33.82927,33.82926,33.82927,1387.0,41.0,students_per_staff,2주기 2017년도 대학현황지표 - 20260427111435.xlsx,33.82927
2017,한국성서대학교,2,사립,서울,20.25806,20.25806,20.25806,1256.0,62.0,students_per_staff,2주기 2017년도 대학현황지표 - 20260427111435.xlsx,20.25806
2017,한국외국어대학교,2,사립,서울,55.43182,55.43181,55.43182,19512.0,352.0,students_per_staff,2주기 2017년도 대학현황지표 - 20260427111435.xlsx,55.43182
2017,한성대학교,2,사립,서울,46.62338,46.62337,46.62338,7180.0,154.0,students_per_staff,2주기 2017년도 대학현황지표 - 20260427111435.xlsx,46.62338
2017,한양대학교,2,사립,서울,34.06991,34.0699,34.06991,22418.0,658.0,students_per_staff,2주기 2017년도 대학현황지표 - 20260427111435.xlsx,34.06991
2017,홍익대학교,2,사립,서울,45.85563,45.85562,45.85563,21598.0,471.0,students_per_staff,2주기 2017년도 대학현황지표 - 20260427111435.xlsx,45.85563
2018,감리교신학대학교,3,사립,서울,42.05556,42.05555,42.05556,1514.0,36.0,students_per_staff,3주기 2018년도 대학현황지표 - 20260427111426.xlsx,42.05556
2018,강서대학교,3,사립,서울,35.15556,35.15555,35.15556,1582.0,45.0,students_per_staff,3주기 2018년도 대학현황지표 - 20260427111426.xlsx,35.15556
2018,건국대학교,3,사립,서울,42.58491,42.5849,42.58491,20313.0,477.0,students_per_staff,3주기 2018년도 대학현황지표 - 20260427111426.xlsx,42.58491
2018,경희대학교,3,사립,서울,39.12033,39.12032,39.12033,33487.0,856.0,students_per_staff,3주기 2018년도 대학현황지표 - 20260427111426.xlsx,39.12033
2018,고려대학교,3,사립,서울,30.13259,30.13259,30.13259,29771.0,988.0,students_per_staff,3주기 2018년도 대학현황지표 - 20260427111426.xlsx,30.13259
2018,광운대학교,3,사립,서울,42.44495,42.44495,42.44495,9253.0,218.0,students_per_staff,3주기 2018년도 대학현황지표 - 20260427111426.xlsx,42.44495
2018,국민대학교,3,사립,서울,42.16397,42.16397,42.16397,18257.0,433.0,students_per_staff,3주기 2018년도 대학현황지표 - 20260427111426.xlsx,42.16397
2018,덕성여자대학교,3,사립,서울,51.95726,51.95726,51.95726,6079.0,117.0,students_per_staff,3주기 2018년도 대학현황지표 - 20260427111426.xlsx,51.95726
2018,동국대학교,3,사립,서울,54.84494,54.84493,54.84494,17331.0,316.0,students_per_staff,3주기 2018년도 대학현황지표 - 20260427111426.xlsx,54.84494
2018,동덕여자대학교,3,사립,서울,62.15652,62.15652,62.15652,7148.0,115.0,students_per_staff,3주기 2018년도 대학현황지표 - 20260427111426.xlsx,62.15652
2018,삼육대학교,3,사립,서울,26.78761,26.78761,26.78761,6054.0,226.0,students_per_staff,3주기 2018년도 대학현황지표 - 20260427111426.xlsx,26.78761
2018,상명대학교,3,사립,서울,45.45779,45.45779,45.45779,14001.0,308.0,students_per_staff,3주기 2018년도 대학현황지표 - 20260427111426.xlsx,45.45779
2018,서강대학교,3,사립,서울,42.21673,42.21673,42.21673,11103.0,263.0,students_per_staff,3주기 2018년도 대학현황지표 - 20260427111426.xlsx,42.21673
2018,서경대학교,3,사립,서울,57.63025,57.63025,57.63025,6858.0,119.0,students_per_staff,3주기 2018년도 대학현황지표 - 20260427111426.xlsx,57.63025
2018,서울기독대학교,3,사립,서울,27.86207,27.86206,27.86207,808.0,29.0,students_per_staff,3주기 2018년도 대학현황지표 - 20260427111426.xlsx,27.86207
2018,서울여자대학교,3,사립,서울,33.07456,33.07456,33.07456,7541.0,228.0,students_per_staff,3주기 2018년도 대학현황지표 - 20260427111426.xlsx,33.07456
2018,서울한영대학교,3,사립,서울,19.2449,19.24489,19.2449,943.0,49.0,students_per_staff,3주기 2018년도 대학현황지표 - 20260427111426.xlsx,19.2449
2018,성공회대학교,3,사립,서울,34.30986,34.30985,34.30986,2436.0,71.0,students_per_staff,3주기 2018년도 대학현황지표 - 20260427111426.xlsx,34.30986
2018,성균관대학교,3,사립,서울,65.04156,65.04156,65.04156,26602.0,409.0,students_per_staff,3주기 2018년도 대학현황지표 - 20260427111426.xlsx,65.04156
