기준년도,학교명,법인명,설립,학급,학종,지역,회계,운영수입,등록금수입,기부금수입,등록금비율,기부금비율,source_file_name,source_sheet_name
2016,서울기독대학교,환원학원,사립,대학,일반,서울,교비,6827338.0,4828500.0,97270.0,70.72,1.42,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,서울신학대학교,서울신학대학교,사립,대학,일반,경기,교비,34835544.0,21832089.0,1227793.0,62.67,3.52,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,서울여자대학교,정의학원,사립,대학,일반,서울,교비,88437415.0,57642912.0,1358908.0,65.18,1.54,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,서울장신대학교,광명학원,사립,대학,일반,경기,교비,9658377.0,6321295.0,676261.0,65.45,7.0,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,서울한영대학교,한영신학대학교,사립,대학,일반,서울,교비,11713494.0,7004236.0,976816.0,59.8,8.34,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,서원대학교,서원학원,사립,대학,일반,충북,교비,69710563.0,47378512.0,579441.0,67.96,0.83,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,선문대학교,선문학원,사립,대학,일반,충남,교비,121113631.0,70950651.0,1160761.0,58.58,0.96,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,성결대학교,성결신학원,사립,대학,일반,경기,교비,57370195.0,41426486.0,321067.0,72.21,0.56,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,성공회대학교,성공회대학교,사립,대학,일반,서울,교비,25861532.0,17551231.0,902106.0,67.87,3.49,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,성균관대학교,성균관대학,사립,대학,일반,서울,교비,541685261.0,258161649.0,17056627.0,47.66,3.15,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,성신여자대학교,성신학원,사립,대학,일반,서울,교비,118172899.0,81298646.0,572246.0,68.8,0.48,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,세명대학교,대원교육재단,사립,대학,일반,충북,교비,89351316.0,55967475.0,335354.0,62.64,0.38,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,세종대학교,대양학원,사립,대학,일반,서울,교비,156030783.0,111436698.0,1439754.0,71.42,0.92,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
