reference_year,row_no,university_name,school_type,founding_type,region_name,size_group,regular_staff_certified,regular_staff_not_certified,non_regular_staff_certified,non_regular_staff_not_certified,total_staff_certified,total_staff_not_certified,enrolled_students,library_staff_per_1000_students_original,student_count_basis,schema_group,library_staff_per_1000_students_recalculated,source_file_name,metric_calc_status,metric_value_was_infinite_or_invalid,scope_school_id,is_scope34_exact,is_comparison11,standardization_source
2009,349,추계예술대학교,대학,사립,서울,C그룹,3.0,1.0,0.0,0.0,3.0,1.0,1477,2.5999999046325684,current_year,legacy_2008_2016,2.572782667569397,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000181,True,False,processed_csv_candidate_not_raw_verified
2009,378,한국성서대학교,대학,사립,서울,C그룹,2.0,2.0,0.0,0.0,2.0,2.0,1225,2.9000000953674316,current_year,legacy_2008_2016,2.938775510204082,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000191,True,False,processed_csv_candidate_not_raw_verified
2009,384,한국외국어대학교,대학,사립,서울,A그룹,29.0,0.0,0.0,1.0,29.0,1.0,19129,1.5,current_year,legacy_2008_2016,1.5421611166292015,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000192,True,False,processed_csv_candidate_not_raw_verified
2009,436,한성대학교,대학,사립,서울,B그룹,8.0,1.0,5.0,2.0,13.0,3.0,7638,1.7999999523162842,current_year,legacy_2008_2016,1.8067556952081696,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000200,True,True,processed_csv_candidate_not_raw_verified
2009,439,한양대학교,대학,사립,서울,A그룹,35.0,2.0,0.0,1.0,35.0,3.0,23858,1.600000023841858,current_year,legacy_2008_2016,1.5550339508760165,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000203,True,False,processed_csv_candidate_not_raw_verified
2009,454,홍익대학교,대학,사립,서울,A그룹,20.0,4.0,11.0,0.0,31.0,4.0,21405,1.5,current_year,legacy_2008_2016,1.494977808923149,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000212,True,False,processed_csv_candidate_not_raw_verified
2010,8,감리교신학대학교,대학,사립,서울,C그룹,4.0,0.0,1.0,0.0,5.0,0.0,1590,3.0,current_year,legacy_2008_2016,3.0188679245283017,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000050,True,False,processed_csv_candidate_not_raw_verified
2010,12,강서대학교,대학,사립,서울,C그룹,2.0,0.0,1.0,0.0,3.0,0.0,1601,1.7000000476837158,current_year,legacy_2008_2016,1.7489069331667706,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000079,True,False,processed_csv_candidate_not_raw_verified
2010,18,건국대학교,대학,사립,서울,A그룹,15.0,6.0,14.0,2.0,29.0,8.0,20173,1.600000023841858,current_year,legacy_2008_2016,1.586278689337233,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000052,True,False,processed_csv_candidate_not_raw_verified
2010,43,경희대학교,대학,사립,서울,A그룹,31.0,6.0,20.0,10.0,51.0,16.0,32210,1.7999999523162842,current_year,legacy_2008_2016,1.7634275069854082,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000066,True,False,processed_csv_candidate_not_raw_verified
2010,48,고려대학교,대학,사립,서울,A그룹,44.0,5.0,14.0,1.0,58.0,6.0,29328,2.0,current_year,legacy_2008_2016,2.035597381342062,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000069,True,False,processed_csv_candidate_not_raw_verified
2010,57,광운대학교,대학,사립,서울,B그룹,5.0,2.0,7.0,0.0,12.0,2.0,9860,1.2000000476837158,current_year,legacy_2008_2016,1.237322515212982,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000074,True,True,processed_csv_candidate_not_raw_verified
2010,80,국민대학교,대학,사립,서울,A그룹,11.0,1.0,10.0,14.0,21.0,15.0,16899,1.600000023841858,current_year,legacy_2008_2016,1.5858926563701996,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000078,True,False,processed_csv_candidate_not_raw_verified
2010,130,덕성여자대학교,대학,사립,서울,B그룹,8.0,1.0,5.0,3.0,13.0,4.0,6091,2.299999952316284,current_year,legacy_2008_2016,2.3477261533409948,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000099,True,True,processed_csv_candidate_not_raw_verified
2010,132,동국대학교,대학,사립,서울,A그룹,17.0,1.0,0.0,1.0,17.0,2.0,17379,1.100000023841858,current_year,legacy_2008_2016,1.0529949939582255,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000100,True,False,processed_csv_candidate_not_raw_verified
2010,135,동덕여자대학교,대학,사립,서울,B그룹,8.0,0.0,5.0,0.0,13.0,0.0,7731,1.600000023841858,current_year,legacy_2008_2016,1.5521924718665114,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000102,True,True,processed_csv_candidate_not_raw_verified
2010,183,삼육대학교,대학,사립,서울,B그룹,6.0,4.0,0.0,1.0,6.0,5.0,5545,1.7000000476837158,current_year,legacy_2008_2016,1.7493237150586112,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000116,True,False,processed_csv_candidate_not_raw_verified
2010,185,상명대학교,대학,사립,서울,A그룹,14.0,4.0,3.0,1.0,17.0,5.0,14095,1.399999976158142,current_year,legacy_2008_2016,1.42603760198652,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000117,True,False,processed_csv_candidate_not_raw_verified
2010,188,서강대학교,대학,사립,서울,A그룹,19.0,6.0,5.0,2.0,24.0,8.0,11415,2.5,current_year,legacy_2008_2016,2.5229960578186597,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000120,True,False,processed_csv_candidate_not_raw_verified
2010,189,서경대학교,대학,사립,서울,B그룹,2.0,5.0,4.0,2.0,6.0,7.0,6730,1.5,current_year,legacy_2008_2016,1.5156017830609212,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000121,True,True,processed_csv_candidate_not_raw_verified
2010,196,서울기독대학교,대학,사립,서울,C그룹,1.0,0.0,0.0,1.0,1.0,1.0,956,1.600000023841858,current_year,legacy_2008_2016,1.5690376569037656,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000098,True,False,processed_csv_candidate_not_raw_verified
2010,209,서울여자대학교,대학,사립,서울,B그룹,7.0,2.0,7.0,0.0,14.0,2.0,8242,1.7000000476837158,current_year,legacy_2008_2016,1.7228827954380006,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000126,True,True,processed_csv_candidate_not_raw_verified
2010,213,서울한영대학교,대학,사립,서울,C그룹,3.0,0.0,0.0,1.0,3.0,1.0,957,3.700000047683716,current_year,legacy_2008_2016,3.6572622779519337,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000205,True,False,processed_csv_candidate_not_raw_verified
2010,223,성공회대학교,대학,사립,서울,C그룹,3.0,2.0,0.0,0.0,3.0,2.0,2661,1.7000000476837158,current_year,legacy_2008_2016,1.728673431040962,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000132,True,False,processed_csv_candidate_not_raw_verified
2010,224,성균관대학교,대학,사립,서울,A그룹,24.0,6.0,31.0,4.0,55.0,10.0,26697,2.0999999046325684,current_year,legacy_2008_2016,2.0826310072292764,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000133,True,False,processed_csv_candidate_not_raw_verified
2010,227,성신여자대학교,대학,사립,서울,A그룹,6.0,1.0,7.0,8.0,13.0,9.0,11177,1.5,current_year,legacy_2008_2016,1.4672989174197013,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000136,True,True,processed_csv_candidate_not_raw_verified
2010,233,세종대학교,대학,사립,서울,A그룹,15.0,0.0,0.0,0.0,15.0,0.0,13200,1.100000023841858,current_year,legacy_2008_2016,1.1363636363636362,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000138,True,True,processed_csv_candidate_not_raw_verified
2010,244,숙명여자대학교,대학,사립,서울,A그룹,16.0,3.0,3.0,3.0,19.0,6.0,13277,1.7000000476837158,current_year,legacy_2008_2016,1.6795962943436016,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000141,True,True,processed_csv_candidate_not_raw_verified
