reference_year,survey_round,school_code,campus_type,university_name,field_category,school_type,region_name,founding_type,source_file_name,교원확보율(전임교원)(편제정원),교원확보율(전임교원)(재학생),교원확보율(겸임포함)(편제정원),교원확보율(겸임포함)(재학생),교원확보율(초빙포함)(편제정원),교원확보율(초빙포함)(재학생),겸임교원확보율(편제정원),겸임교원확보율(재학생),겸임교원확보율(편제정원_최종),겸임교원확보율(재학생_최종)
2015,201501,53027000,,그리스도대학교 본교,의학,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,53027000,,그리스도대학교 본교,인문사회,,,,2015년교원확보율.xlsx,74.58,74.58,79.66,79.66,79.66,79.66,5.08,5.08,1.524,1.524
2015,201501,53027000,,그리스도대학교 본교,자연과학,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,53027000,,그리스도대학교 본교,총계,,,,2015년교원확보율.xlsx,77.27,77.27,81.82,81.82,81.82,81.82,4.55,4.55,1.365,1.365
2015,201501,53028000,,극동대학교 본교,공학,,,,2015년교원확보율.xlsx,65.79,73.53,84.21,88.24,84.21,88.24,18.42,14.71,4.0,4.0
2015,201501,53028000,,극동대학교 본교,소계,,,,2015년교원확보율.xlsx,70.37,75.25,81.02,85.64,82.87,87.62,10.65,10.39,3.195,3.117
2015,201501,53028000,,극동대학교 본교,예체능,,,,2015년교원확보율.xlsx,47.92,56.1,62.5,73.17,62.5,73.17,14.58,17.07,4.0,4.0
2015,201501,53028000,,극동대학교 본교,의학,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,53028000,,극동대학교 본교,인문사회,,,,2015년교원확보율.xlsx,95.06,102.67,103.7,112.0,108.64,117.33,8.64,9.33,2.592,2.799
2015,201501,53028000,,극동대학교 본교,자연과학,,,,2015년교원확보율.xlsx,55.1,51.92,59.18,55.77,59.18,55.77,4.08,3.85,1.224,1.155
2015,201501,53028000,,극동대학교 본교,총계,,,,2015년교원확보율.xlsx,70.37,75.25,81.02,85.64,82.87,87.62,10.65,10.39,3.195,3.117
2015,201501,53141000,,금강대학교 본교,공학,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,53141000,,금강대학교 본교,소계,,,,2015년교원확보율.xlsx,96.55,127.27,96.55,127.27,96.55,127.27,0.0,0.0,0.0,0.0
2015,201501,53141000,,금강대학교 본교,예체능,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,53141000,,금강대학교 본교,의학,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,53141000,,금강대학교 본교,인문사회,,,,2015년교원확보율.xlsx,96.55,127.27,96.55,127.27,96.55,127.27,0.0,0.0,0.0,0.0
2015,201501,53141000,,금강대학교 본교,자연과학,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,53141000,,금강대학교 본교,총계,,,,2015년교원확보율.xlsx,96.55,127.27,96.55,127.27,96.55,127.27,0.0,0.0,0.0,0.0
2015,201501,51007000,,금오공과대학교 본교,공학,,,,2015년교원확보율.xlsx,66.2,55.13,67.25,56.01,67.96,56.6,1.05,0.88,0.315,0.264
2015,201501,51007000,,금오공과대학교 본교,소계,,,,2015년교원확보율.xlsx,67.18,57.71,68.42,58.51,69.66,59.57,1.24,0.8,0.372,0.24
2015,201501,51007000,,금오공과대학교 본교,예체능,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,51007000,,금오공과대학교 본교,의학,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,51007000,,금오공과대학교 본교,인문사회,,,,2015년교원확보율.xlsx,122.22,122.22,127.78,122.22,138.89,133.33,5.56,0.0,1.668,0.0
2015,201501,51007000,,금오공과대학교 본교,자연과학,,,,2015년교원확보율.xlsx,33.33,41.18,33.33,41.18,33.33,41.18,0.0,0.0,0.0,0.0
2015,201501,51007000,,금오공과대학교 본교,총계,,,,2015년교원확보율.xlsx,67.18,57.71,68.42,58.51,69.66,59.57,1.24,0.8,0.372,0.24
2015,201501,53157000,,김천대학교 본교,공학,,,,2015년교원확보율.xlsx,87.5,100.0,100.0,114.29,100.0,114.29,12.5,14.29,3.75,4.0
2015,201501,53157000,,김천대학교 본교,소계,,,,2015년교원확보율.xlsx,78.95,81.97,96.32,99.45,97.89,101.09,17.37,17.48,4.0,4.0
2015,201501,53157000,,김천대학교 본교,예체능,,,,2015년교원확보율.xlsx,50.0,75.0,66.67,75.0,66.67,75.0,16.67,0.0,4.0,0.0
2015,201501,53157000,,김천대학교 본교,의학,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,53157000,,김천대학교 본교,인문사회,,,,2015년교원확보율.xlsx,138.64,148.78,154.55,165.85,156.82,168.29,15.91,17.07,4.0,4.0
2015,201501,53157000,,김천대학교 본교,자연과학,,,,2015년교원확보율.xlsx,59.85,60.31,78.03,78.63,79.55,80.15,18.18,18.32,4.0,4.0
2015,201501,53157000,,김천대학교 본교,총계,,,,2015년교원확보율.xlsx,78.95,81.97,96.32,99.45,97.89,101.09,17.37,17.48,4.0,4.0
2015,201501,53133000,,꽃동네대학교 본교,공학,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,53133000,,꽃동네대학교 본교,소계,,,,2015년교원확보율.xlsx,81.48,81.48,81.48,81.48,81.48,81.48,0.0,0.0,0.0,0.0
2015,201501,53133000,,꽃동네대학교 본교,예체능,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,53133000,,꽃동네대학교 본교,의학,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,53133000,,꽃동네대학교 본교,인문사회,,,,2015년교원확보율.xlsx,84.21,88.89,84.21,88.89,84.21,88.89,0.0,0.0,0.0,0.0
2015,201501,53133000,,꽃동네대학교 본교,자연과학,,,,2015년교원확보율.xlsx,75.0,66.67,75.0,66.67,75.0,66.67,0.0,0.0,0.0,0.0
2015,201501,53133000,,꽃동네대학교 본교,총계,,,,2015년교원확보율.xlsx,81.48,81.48,81.48,81.48,81.48,81.48,0.0,0.0,0.0,0.0
2015,201501,53029000,,나사렛대학교 본교,공학,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
